wos_accession_number,doi
WOS:000330452600001,10.1155/2014/697260
WOS:001682964400002,10.4491/eer.2025.081
WOS:000456527000024,10.3390/ijerph15122633
WOS:001307235200001,10.3390/cells13161386
WOS:000314809700004,10.2166/aqua.2013.016
WOS:000793656600001,10.1016/j.aquaculture.2022.738215
WOS:000076453400040,10.1039/a803621g
WOS:001637279100001,10.1088/1748-9326/ae2696
WOS:000330161000038,10.1016/j.ecoenv.2013.10.022
WOS:001219644300001,10.1016/j.jwpe.2024.105125
WOS:001114421500001,10.1021/acs.est.3c06586
WOS:000781449800001,10.3390/ijerph19074003
WOS:000431411100037,10.1016/j.jwpe.2017.08.015
WOS:001505139100003,10.1016/j.watres.2025.123892
WOS:001432197900001,10.1016/j.jelechem.2025.119028
WOS:000698576900002,10.1007/s11356-021-16593-5
WOS:000354672700001,10.1155/2015/479103
WOS:000301098900027,10.1021/jf204277v
WOS:000220654300004,10.1002/dev.20004
WOS:A1997XF15400020,10.1016/S0273-1223(97)00126-1
WOS:000269656200022,10.1021/es9010338
WOS:000503381200224,10.1016/j.cej.2019.122659
WOS:000352305700009,10.1080/19443994.2014.917990
WOS:001570790800001,10.3389/fenvs.2025.1660425
WOS:000439403000015,10.1016/j.watres.2018.05.001
WOS:000372290300016,10.1515/reveh-2016-0008
WOS:000615045400004,10.1016/j.jece.2020.104844
WOS:000287054500009,10.1016/j.watres.2010.10.014
WOS:000275471200024,10.1039/b918487b
WOS:A1997WK45600016,10.1016/S0011-9164(97)00017-9
WOS:000250556000020,10.1080/10934520701567148
WOS:000853930200006,10.1061/(ASCE)EE.1943-7870.0002053
WOS:001211135500001,10.3390/atmos15040484
WOS:000398000000018,10.2166/ws.2016.159
WOS:000481520800006,10.1002/wat2.1373
WOS:000471087800003,10.1016/j.hal.2019.01.010
WOS:000402343700002,10.1016/j.chemosphere.2017.04.039
WOS:000320567500037,
WOS:000990724300001,10.1158/1055-9965.EPI-22-0926
WOS:001661788400002,10.1016/j.aca.2026.345051
WOS:000303843000003,10.1016/j.chroma.2012.03.020
WOS:000862695400002,10.1016/j.jenvman.2022.115817
WOS:000292947800018,10.1016/j.watres.2011.05.001
WOS:000383771300006,10.2166/aqua.2016.001
WOS:001145029400001,10.1016/j.seppur.2023.126030
WOS:000331021200038,10.1016/j.jhazmat.2013.10.059
WOS:000187533900025,
WOS:001053006000001,10.1016/j.watres.2023.120342
WOS:000358329700005,10.1007/s12040-015-0583-8
WOS:001507857900001,10.1007/s00203-025-04377-1
WOS:000283388900002,10.1016/j.aquaeng.2010.05.003
WOS:000254066400002,10.1089/ees.2006.0113
WOS:001082192600001,10.1016/j.fochx.2023.100750
WOS:000288478700010,10.1016/j.watres.2010.12.002
WOS:000249011800009,10.1080/01919510701462679
WOS:000670386400009,10.1016/j.jece.2021.105555
WOS:000346394900013,10.1016/j.watres.2014.09.002
WOS:000341653300009,10.1080/19443994.2013.808591
WOS:001270190800001,10.3390/w16131768
WOS:000316118500015,10.1039/c3ay26626e
WOS:001374546700001,10.1016/j.envres.2024.120500
WOS:000800006400004,10.1016/j.cej.2022.136535
WOS:000472696600005,10.1016/j.foodqual.2019.05.008
WOS:000412457300015,10.1007/s00477-017-1440-x
WOS:000752516100003,10.1016/j.jhazmat.2021.127904
WOS:000293312800057,10.1016/j.desal.2011.03.076
WOS:001546939800002,10.1016/j.compbiolchem.2025.108604
WOS:000177586400010,10.1016/S0960-8524(02)00079-2
WOS:000664771400002,10.1016/j.jhazmat.2021.126142
WOS:000386381000011,10.4314/wsa.v42i2.11
WOS:000482126900038,10.3382/ps/pez094
WOS:000459527800036,10.1016/j.jenvman.2019.01.080
WOS:000310763600043,10.1016/j.jhazmat.2012.09.006
WOS:000351102400008,10.1007/s11270-014-2290-5
WOS:000385902000001,10.1016/j.watres.2016.08.052
WOS:000285695000012,10.17221/212/2008-CJFS
WOS:000465366100002,10.1016/j.jenvman.2019.03.032
WOS:000324566400033,10.1016/j.watres.2013.05.057
WOS:000239731700007,10.1016/j.mcm.2006.01.007
WOS:000248791400014,
WOS:000936080400005,10.5004/dwt.2022.29077
WOS:000472132900035,10.3390/ijerph16111907
WOS:001616164000002,10.1016/j.jconhyd.2025.104760
WOS:A1995RW01400020,10.1016/0273-1223(95)00466-Z
WOS:000179126700013,10.1016/S0165-2370(02)00005-0
WOS:000268993700008,10.1016/j.watres.2009.05.018
WOS:000224099600016,10.1365/s10337-003-0125-4
WOS:000220173700016,
WOS:000328005300051,10.1166/sl.2013.2868
WOS:001259807100001,10.1016/j.ecohyd.2024.03.004
WOS:000441527900032,10.1016/j.cej.2018.07.123
WOS:000457293700134,10.1016/j.scitotenv.2018.12.337
WOS:000357244600020,
WOS:000274724700016,10.1016/j.watres.2009.08.016
WOS:000600769200002,10.3103/S1063455X20050045
WOS:000278907300009,10.1061/(ASCE)WR.1943-5452.0000060
WOS:000226005200002,
WOS:000504472800012,10.1016/j.jwpe.2019.100895
WOS:000363355700011,10.1016/j.watres.2015.08.017
WOS:001128426100002,10.1016/j.jwpe.2022.103044
WOS:000167033400017,
WOS:000635207100043,10.1016/j.scitotenv.2021.145110
WOS:000319234500005,10.1016/j.chemosphere.2012.12.014
WOS:001312079000001,10.1016/j.cej.2024.155480
WOS:001180411100001,10.1016/j.watres.2024.121199
WOS:000456223500016,10.1016/j.chemosphere.2018.10.028
WOS:000378680300016,10.1002/jssc.201600098
WOS:000659522800020,10.1016/j.jevs.2021.103619
WOS:000436930700015,10.1111/acer.13768
WOS:001290562300001,10.1016/j.aqrep.2024.102290
WOS:001114579100001,10.1016/j.hal.2023.102527
WOS:001491751300006,10.1007/s11270-025-08104-w
WOS:000310069500014,10.1107/S0907444912038486
WOS:000249250900017,10.1016/j.seppur.2007.01.039
WOS:000222401500038,10.2166/wst.2004.0587
WOS:001164184500001,10.1016/j.jes.2023.08.030
WOS:000231461500020,10.1016/j.desal.2004.11.068
WOS:000276673200006,10.1016/j.neulet.2010.02.024
WOS:000865174100008,10.1007/s00284-022-03052-8
WOS:000297925500044,10.5004/dwt.2011.2662
WOS:000249011800005,10.1080/01919510701459311
WOS:000963612300001,10.1016/j.watres.2023.119667
WOS:000345469100014,10.1016/j.hal.2014.07.005
WOS:000465212100013,10.1016/j.aca.2019.03.041
WOS:000799264500001,10.3390/nu14091721
WOS:001056227100001,10.3390/foods12163063
WOS:000569155400003,10.1016/j.watres.2020.115992
WOS:000468619200001,10.1016/j.scitotenv.2019.04.329
WOS:001062778800001,10.1016/j.seppur.2023.124766
WOS:000541434400012,10.1016/j.watres.2020.115902
WOS:000322157700057,10.1080/19443994.2013.768437
WOS:000462955700012,10.1016/j.psep.2018.10.025
WOS:000584569700002,10.1007/s40201-020-00568-8
WOS:000337861400024,10.1016/j.watres.2014.04.023
WOS:000245601000005,10.1111/j.1530-0277.2007.00358.x
WOS:001121088800001,10.1111/mcn.13575
WOS:A1997XZ97100008,
WOS:001340230500001,10.1007/s00267-024-02071-4
WOS:000270297900002,10.2166/aqua.2009.114
WOS:001098273600001,10.3390/catal13101356
WOS:001626995600001,10.1016/j.watres.2025.124965
WOS:001464431100001,10.1016/j.watres.2025.123573
WOS:001307726500001,10.1021/acs.est.4c02575
WOS:000246543400013,10.2166/wst.2007.167
WOS:001574604000008,10.1002/awwa.2501
WOS:000422945900001,10.5942/jawwa.2017.109.0122
WOS:000339036500003,10.1016/j.jes.2014.05.003
WOS:000344823500007,10.1016/j.watres.2014.08.007
WOS:000246543400026,10.2166/wst.2007.180
WOS:000230054700032,10.2166/wst.2005.0645
WOS:000861226400002,10.1016/j.jenvman.2022.116225
WOS:000273615600003,10.2166/aqua.2009.124
WOS:000333781300017,10.1016/j.watres.2014.01.028
WOS:000399705800004,10.1007/s00253-017-8223-7
WOS:000957072100001,10.1016/j.envres.2023.115677
WOS:000347756900040,10.1016/j.watres.2014.09.038
WOS:000305204900002,10.1016/j.jenvman.2012.03.006
WOS:001422369300001,10.1016/j.jwpe.2025.106947
WOS:001541324800002,10.1016/j.jwpe.2025.108407
WOS:000246543400025,10.2166/wst.2007.179
WOS:000450165300011,10.1007/s00343-018-7124-7
WOS:000377319600009,10.1016/j.hal.2015.11.008
WOS:000273615600007,10.2166/aqua.2009.020
WOS:000472812000030,10.1016/j.jenvman.2019.04.123
WOS:001325295300001,10.2166/wh.2024.166
WOS:000628643000001,10.3390/w13050628
WOS:000389090100138,10.1016/j.scitotenv.2016.08.134
WOS:000714148500008,10.1002/awwa.1786
WOS:001359217700001,10.1002/awwa.2369
WOS:001230637700001,10.1016/j.scitotenv.2024.172227
WOS:000514544700011,10.1016/j.scitotenv.2019.135061
WOS:000989008600001,10.1016/j.jhazmat.2023.131429
WOS:001596142200003,10.1016/j.jes.2025.04.002
WOS:000475411500060,10.1016/j.ecoenv.2019.06.046
WOS:000377732700045,10.1016/j.chemosphere.2016.05.010
WOS:001327731200001,10.1039/d4ew00645c
WOS:000647799000007,10.1016/j.wroa.2021.100099
WOS:001272717500001,10.1016/j.jenvman.2024.121828
WOS:001394843200001,10.3390/w17010079
WOS:000326035000007,10.2166/aqua.2013.055
WOS:000569155800008,10.1016/j.watres.2020.115971
WOS:001257363500001,10.3390/toxins16060264
WOS:000862592600009,10.1016/j.scitotenv.2022.158626
WOS:000454880400020,10.1016/j.trac.2018.10.032
WOS:000266183100011,10.1016/j.watres.2009.02.016
WOS:000326994200018,10.1016/S1001-0742(12)60290-3
WOS:001464724600001,10.3390/w17070956
WOS:000306080200004,10.1089/ees.2011.0007
WOS:000246543400002,10.2166/wst.2007.155
WOS:000572324500002,10.1007/s00253-020-10884-6
WOS:000927973700001,10.1016/j.jwpe.2023.103518
WOS:000463378300011,10.1016/j.jes.2018.11.008
WOS:000883726400001,10.2166/aqua.2022.133
WOS:000394723200035,10.1016/j.cej.2016.12.086
WOS:000449137700004,10.1016/j.watres.2018.08.014
WOS:000312156900007,10.1002/clen.201200040
WOS:000321723100012,
WOS:000324166400022,10.3724/SP.J.1096.2013.20882
WOS:000383611500002,10.1002/clen.201500749
WOS:000286294300010,10.1016/j.scitotenv.2010.10.010
WOS:000273615600009,10.2166/aqua.2009.023
WOS:000224231900018,10.1080/15287390490492377
WOS:000246732500022,10.1016/j.watres.2007.02.005
WOS:000479023000018,10.1016/j.watres.2019.06.066
WOS:000345124100005,10.1016/j.cattod.2014.03.027
WOS:000451417400001,10.1186/s12302-018-0175-8
WOS:000985232500055,10.1038/s41598-023-28543-x
WOS:000246543400016,10.2166/wst.2007.170
WOS:000743241500007,10.1016/j.scitotenv.2021.152804
WOS:000078691900008,10.1016/S0380-1330(98)70867-6
WOS:000246543400014,10.2166/wst.2007.168
WOS:001183415900001,10.3390/su16052043
WOS:001041899600001,10.3389/fevo.2023.1216567
WOS:000929071800003,10.4194/TRJFAS21811
WOS:000945984600001,10.1016/j.watres.2023.119693
WOS:000734153900002,10.1016/j.chemosphere.2021.133325
WOS:000458221200043,10.1016/j.watres.2018.11.034
WOS:000083324400005,10.2166/wst.1999.0256
WOS:000691258000010,10.1016/j.jenvman.2021.113304
WOS:000360418000018,10.1016/j.watres.2015.06.038
WOS:000396138800066,10.1007/s11356-016-7966-5
WOS:000599421400018,10.1016/j.watres.2020.116478
WOS:A1997WV97000025,10.1016/S0043-1354(96)00362-4
WOS:001489800900001,10.1016/j.cej.2025.162892
WOS:000445137100003,10.2166/ws.2018.001
WOS:000294101300022,10.1016/j.watres.2011.06.006
WOS:000724574400004,10.1016/j.cej.2021.132829
WOS:000429397700004,10.1016/j.watres.2018.02.041
WOS:001385637300001,10.3390/microorganisms12122610
WOS:000259193900021,10.1139/F08-084
WOS:001603792500001,10.3390/biology14101377
WOS:001476288000001,10.1016/j.jece.2025.116530
WOS:000323356700005,10.1016/S1001-0742(12)60232-0
WOS:000317159300062,10.1016/j.cej.2013.01.035
WOS:000246543400042,10.2166/wst.2007.196
WOS:000436806200069,10.1016/j.scitotenv.2018.05.188
WOS:000222401500030,10.2166/wst.2004.0575
WOS:A1996TM41600012,10.1016/0043-1354(95)00173-5
WOS:000335582800012,10.1007/s11783-013-0577-1
WOS:000246543400012,10.2166/wst.2007.166
WOS:000373353000016,10.1080/19443994.2015.1083890
WOS:000339036500003,10.1016/j.jes.2014.05.003
WOS:000984757600001,10.1016/j.jhazmat.2023.131446
WOS:000317048600003,10.2166/aqua.2013.087
WOS:000702864800008,10.1016/j.watres.2021.117549
WOS:001413508000001,10.1016/j.jwpe.2025.107099
WOS:000374408100003,10.2166/wh.2015.243
WOS:001083638800001,10.1016/j.jwpe.2023.104329
WOS:001293053500001,10.1016/j.watres.2024.122219
WOS:001499416300002,10.2166/aqua.2025.249
WOS:001531104400001,10.1007/s10068-025-01953-5
WOS:001626995600001,10.1016/j.watres.2025.124965
WOS:000424096500026,10.3390/toxins10010026
WOS:001693446400006,10.1002/awwa.70041
WOS:000083324400030,10.1016/S0273-1223(99)00560-0
WOS:000180422800020,10.1016/S0043-1354(02)00372-X
WOS:000168836700019,
WOS:001218358700001,10.1016/j.seppur.2024.126991
WOS:000517663600039,10.1016/j.watres.2020.115507
WOS:A1997XZ97100008,
WOS:000271936600004,10.2166/wst.2009.662
WOS:001464431100001,10.1016/j.watres.2025.123573
WOS:000734396500002,10.1016/j.jhazmat.2021.128056
WOS:000220046300011,
WOS:001307726500001,10.1021/acs.est.4c02575
WOS:000180154500007,10.1080/07438140209353938
WOS:000256335400027,10.1016/j.watres.2008.01.010
WOS:000220462200026,10.1016/j.watres.2003.11.036
WOS:000246543400023,10.2166/wst.2007.177
WOS:000569155800008,10.1016/j.watres.2020.115971
WOS:000270297900002,10.2166/aqua.2009.114
WOS:001098273600001,10.3390/catal13101356
WOS:000382321800016,10.2166/ws.2016.017
WOS:000244410700005,10.1016/j.watres.2006.11.028
WOS:000466090500017,10.1016/j.scitotenv.2019.03.370
WOS:000369959100008,10.1002/clen.201500077
WOS:000083324400028,10.2166/wst.1999.0299
WOS:000246543400033,10.2166/wst.2007.187
WOS:000344823500007,10.1016/j.watres.2014.08.007
WOS:000588616700020,10.1016/j.scitotenv.2020.141776
WOS:000083324400026,10.1016/S0273-1223(99)00556-9
WOS:001005557800001,10.1186/s12302-023-00746-z
WOS:000246543400013,10.2166/wst.2007.167
WOS:001489521900001,10.1021/acs.est.5c04330
WOS:000521546800001,10.1186/s12302-020-00313-w
WOS:000176112600018,
WOS:000962423900001,10.1016/j.chemosphere.2023.138328
WOS:000267312900007,10.1016/j.watres.2009.04.001
WOS:001340230500001,10.1007/s00267-024-02071-4
WOS:000226450000031,10.1021/jf049582k
WOS:000800388400001,10.2166/wh.2022.060
WOS:000468977800027,10.1007/s11356-019-04635-y
WOS:A1995RC29600008,10.1037/0735-7044.109.3.446
WOS:000246543400045,10.2166/wst.2007.199
WOS:000318453800005,10.1016/S1001-0742(12)60012-6
WOS:000458626800115,10.1016/j.scitotenv.2018.11.062
WOS:000422945900001,10.5942/jawwa.2017.109.0122
WOS:000238946800013,10.1080/10934520600754128
WOS:000463378300011,10.1016/j.jes.2018.11.008
WOS:000083324400041,10.1016/S0273-1223(99)00571-5
WOS:000696805300010,10.1016/j.envpol.2021.117683
WOS:000087436600024,10.1016/S0043-1354(00)00027-0
WOS:000862592600009,10.1016/j.scitotenv.2022.158626
WOS:000220501400027,10.1016/j.watres.2004.01.008
WOS:000222401500012,10.2166/wst.2004.0538
WOS:000617139900020,10.2166/ws.2020.167
WOS:000168836400019,
WOS:000286571500001,10.1016/S1001-0742(10)60367-1
WOS:000222401500032,10.2166/wst.2004.0579
WOS:001554601100001,10.1007/s10661-025-14505-5
WOS:000366235700009,10.1016/j.envpol.2015.06.027
WOS:000246543400029,10.2166/wst.2007.183
WOS:000268197400014,10.1016/j.chemosphere.2009.03.073
WOS:000246543400028,10.2166/wst.2007.182
WOS:000385596000028,10.1016/j.envpol.2016.06.069
WOS:000715047200003,10.1016/j.teac.2021.e00149
WOS:001574604000008,10.1002/awwa.2501
WOS:000861226400002,10.1016/j.jenvman.2022.116225
WOS:000185158500004,
WOS:000466416100003,10.1002/pts.2430
WOS:000238014600001,10.1016/j.watres.2006.02.024
WOS:000542174500010,10.1016/j.jwpe.2020.101381
WOS:000176378600578,
WOS:001345812300001,10.1021/acs.est.4c10988
WOS:000957072100001,10.1016/j.envres.2023.115677
WOS:000273615600003,10.2166/aqua.2009.124
WOS:000399705800004,10.1007/s00253-017-8223-7
WOS:000447609100231,
WOS:000361415800028,10.1021/acs.est.5b00979
WOS:000762689600003,10.1016/j.jhazmat.2022.128435
WOS:000672119400015,10.1007/s11356-021-15218-1
WOS:000328006200002,10.1016/S1001-0742(12)60317-9
WOS:000181037100021,
WOS:000451576800001,10.1002/awwa.1147
WOS:000271775104461,
WOS:000186849100001,
WOS:000293624300006,10.2166/wh.2011.165
WOS:000342338500002,10.1002/clen.201200716
WOS:A1996UP85300014,10.1016/0043-1354(96)00027-9
WOS:000181997000007,10.1016/S0380-1330(03)70416-X
WOS:000347756900040,10.1016/j.watres.2014.09.038
WOS:000246543400009,10.2166/wst.2007.163
WOS:A1997WG34300026,10.1021/es950776d
WOS:000374315100010,10.2166/aqua.2014.069
WOS:000246543400026,10.2166/wst.2007.180
WOS:000367866300008,10.1021/acs.est.5b03409
WOS:000353735800023,10.1016/j.watres.2015.01.032
WOS:000371555200017,10.1016/j.watres.2016.01.016
WOS:000248197400001,10.1128/AEM.02250-06
WOS:000451417400001,10.1186/s12302-018-0175-8
WOS:000376805500027,10.1016/j.watres.2016.04.023
WOS:000177352400001,10.2166/aqua.2002.0016
WOS:000311130100014,10.1016/j.watres.2012.08.018
WOS:000477798800011,10.4038/jnsfsr.v47i2.9167
WOS:000224121100006,10.2166/wqrj.2004.030
WOS:000430569100472,
WOS:000181041100007,10.2166/wqrj.2003.007
WOS:001138499200022,10.15244/pjoes/169016
WOS:000374315100005,10.2166/aqua.2015.067
WOS:001185909700007,10.1002/awwa.2244
WOS:000989008600001,10.1016/j.jhazmat.2023.131429
WOS:000255417000003,
WOS:000431460204626,
WOS:000446149600042,10.1016/j.chemosphere.2018.07.149
WOS:000304713300004,10.1007/s11783-011-0319-1
WOS:000628643000001,10.3390/w13050628
WOS:000351391800032,10.1039/c4ay03026e
WOS:000333781300017,10.1016/j.watres.2014.01.028
WOS:000246543400018,10.2166/wst.2007.172
WOS:001422369300001,10.1016/j.jwpe.2025.106947
WOS:001571396300001,10.1080/10402381.2025.2543788
WOS:000408184700023,10.1016/j.envres.2017.06.018
WOS:000168260000034,10.1021/jf001252m
WOS:000246543400036,10.2166/wst.2007.190
WOS:000274724700023,10.1016/j.watres.2009.08.026
WOS:001041899600001,10.3389/fevo.2023.1216567
WOS:000252246400017,
WOS:000614114100077,10.1016/j.envpol.2020.116373
WOS:001070961700001,10.1016/j.seppur.2023.124899
WOS:000300431400005,10.1590/S1413-41522011000400006
WOS:000450165300011,10.1007/s00343-018-7124-7
WOS:000230054700032,10.2166/wst.2005.0645
WOS:000377319600009,10.1016/j.hal.2015.11.008
WOS:000247576100008,
WOS:000621017700008,10.1007/s11356-021-12973-z
WOS:001024918800001,10.1038/s41545-023-00264-8
WOS:001327731200001,10.1039/d4ew00645c
WOS:001528445800001,10.1016/j.talanta.2025.128529
WOS:000083324400039,10.1016/S0273-1223(99)00569-7
WOS:000452202800028,10.5004/dwt.2018.22926
WOS:000305204900002,10.1016/j.jenvman.2012.03.006
WOS:000296212700034,10.1021/es202594z
WOS:000362695700015,10.5942/jawwa.2015.107.0142
WOS:000389090100138,10.1016/j.scitotenv.2016.08.134
WOS:000246543400025,10.2166/wst.2007.179
WOS:000414707500052,10.3390/w9100775
WOS:000222401500011,10.2166/wst.2004.0537
WOS:000360308500003,10.2166/washdev.2015.172
WOS:000246543400034,10.2166/wst.2007.188
WOS:001028991800001,10.1016/j.physbeh.2023.114269
WOS:000231335500021,10.1016/j.watres.2005.04.055
WOS:000244539600040,
WOS:000251391200026,10.1037/0735-7044.121.6.1383
WOS:000299521200009,10.1007/s11783-010-0257-3
WOS:001257799200001,10.1016/j.psep.2024.05.134
WOS:001528121100002,10.1016/j.watres.2025.124078
WOS:000472812000030,10.1016/j.jenvman.2019.04.123
WOS:001541324800002,10.1016/j.jwpe.2025.108407
WOS:000357235400032,10.1016/j.chemosphere.2015.05.049
WOS:A1997XK23500006,10.2166/wst.1997.0294
WOS:000083324400003,10.2166/wst.1999.0252
WOS:A1995RW01400002,10.1016/0273-1223(95)00448-V
WOS:000647799000007,10.1016/j.wroa.2021.100099
WOS:A1995RW01400003,10.1016/0273-1223(95)00449-W
WOS:001257363500001,10.3390/toxins16060264
WOS:001402222300001,10.1016/j.watres.2024.123020
WOS:000222401500019,10.2166/wst.2004.0552
WOS:000617138500029,10.2166/ws.2020.145
WOS:001293376600001,10.1016/j.jhazmat.2024.134367
WOS:A1996UC90300002,
WOS:001474700700001,10.3390/atmos16040362
WOS:000243388200049,10.1021/es061687b
WOS:000273615600006,10.2166/aqua.2009.122
WOS:000076306300004,
WOS:001077707000001,10.1016/j.scitotenv.2023.166998
WOS:000168835100036,
WOS:000224121100005,10.2166/wqrj.2004.029
WOS:000475346300009,10.3390/w11061121
WOS:000079284500006,10.2166/aqua.1999.0003
WOS:000323402700007,
WOS:000083324400036,10.2166/wst.1999.0307
WOS:001596142200003,10.1016/j.jes.2025.04.002
WOS:000175817400019,10.1016/S0048-9697(01)01049-X
